q_bohr^-1 w_Ry eps g_Ry
1.530407698322290289e-01 -3.873384724873210061e+00 2.617427248377224913e+01 -1.479844273522660236e-01
1.560288119451555822e-01 -3.720703726202083672e+00 2.518310464946556593e+01 -1.477460296493285641e-01
1.590168540580821077e-01 -3.576553209046557047e+00 2.424729995091706058e+01 -1.475031536000480648e-01
1.620048961710086333e-01 -3.440309749140324058e+00 2.336281209161392880e+01 -1.472558070342577241e-01
1.649929382839351588e-01 -3.311405857487605076e+00 2.252595782086383025e+01 -1.470039979574381817e-01
1.679809803968617121e-01 -3.189324064269285497e+00 2.173337853563117150e+01 -1.467477345522000542e-01
1.709690225097882377e-01 -3.073591720099154045e+00 2.098200653830472007e+01 -1.464870251797896206e-01
1.739570646227147632e-01 -2.963776416917690781e+00 2.026903531619720056e+01 -1.462218783816171819e-01
1.769451067356412888e-01 -2.859481945533314473e+00 1.959189330413322594e+01 -1.459523028808073775e-01
1.799331488485678143e-01 -2.760344719119320001e+00 1.894822067130342447e+01 -1.456783075837716213e-01
1.829211909614943676e-01 -2.666030602280965667e+00 1.833584874045491730e+01 -1.453999015818026874e-01
1.859092330744208932e-01 -2.576232093970494574e+00 1.775278170371730013e+01 -1.451170941526899183e-01
1.888972751873474187e-01 -2.490665819831936911e+00 1.719718034676990825e+01 -1.448298947623556654e-01
1.918853173002739443e-01 -2.409070295733239053e+00 1.666734753313920692e+01 -1.445383130665124638e-01
1.948733594132004976e-01 -2.331203929479448433e+00 1.616171523440056745e+01 -1.442423589123405236e-01
1.978614015261270231e-01 -2.256843232152244028e+00 1.567883292095122982e+01 -1.439420423401847338e-01
2.008494436390535487e-01 -2.185781214315380527e+00 1.521735715264789413e+01 -1.436373735852709554e-01
2.038374857519800742e-01 -2.117825945567941126e+00 1.477604222964645508e+01 -1.433283630794424390e-01
2.068255278649065998e-01 -2.052799258704542051e+00 1.435373178180733156e+01 -1.430150214529135044e-01
2.098135699778331531e-01 -1.990535582126329528e+00 1.394935119050722960e+01 -1.426973595360422897e-01
2.128016120907596787e-01 -1.930880886198805158e+00 1.356190075001811124e+01 -1.423753883611208748e-01
2.157896542036862042e-01 -1.873691731022570917e+00 1.319044948710257792e+01 -1.420491191641830298e-01
2.187776963166127298e-01 -1.818834404613058231e+00 1.283412956740503574e+01 -1.417185633868283390e-01
2.217657384295392831e-01 -1.766184141810565933e+00 1.249213122581961599e+01 -1.413837326780631454e-01
2.247537805424658086e-01 -1.715624415392182689e+00 1.216369816548147753e+01 -1.410446388961570374e-01
2.277418226553923342e-01 -1.667046291857501750e+00 1.184812337652068592e+01 -1.407012941105147130e-01
2.307298647683188597e-01 -1.620347845231712824e+00 1.154474533137551440e+01 -1.403537106035628867e-01
2.337179068812453853e-01 -1.575433622990573879e+00 1.125294451840064802e+01 -1.400019008726514358e-01
2.367059489941719386e-01 -1.532214158877267307e+00 1.097214027982529672e+01 -1.396458776319677020e-01
2.396939911070984641e-01 -1.490605527964218968e+00 1.070178792390041878e+01 -1.392856538144652823e-01
2.426820332200249897e-01 -1.450528939824664354e+00 1.044137608439579168e+01 -1.389212425738040879e-01
