q_bohr^-1 w_Ry eps g_Ry
7.423420185080542577e-01 -3.307642476579216062e+00 3.621812521322721690e+00 -9.132561271755812449e-01
7.503055456552987224e-01 -3.239143874610610929e+00 3.559438681697149054e+00 -9.100153603618701403e-01
7.582690728025431870e-01 -3.172788147006432524e+00 3.499025288147096902e+00 -9.067634228749964498e-01
7.662325999497876516e-01 -3.108486636296070138e+00 3.440491328874868415e+00 -9.035007907758998424e-01
7.741961270970321163e-01 -3.046155221275286262e+00 3.383759937220653491e+00 -9.002279351345863212e-01
7.821596542442765809e-01 -2.985714041312790279e+00 3.328758139741812450e+00 -8.969453219405031374e-01
7.901231813915210456e-01 -2.927087240008625635e+00 3.275416621975324905e+00 -8.936534120179709939e-01
7.980867085387655102e-01 -2.870202726667414161e+00 3.223669510478938349e+00 -8.903526609466211328e-01
8.060502356860099749e-01 -2.814991954185412926e+00 3.173454169870814745e+00 -8.870435189867593717e-01
8.140137628332544395e-01 -2.761389712073135438e+00 3.124711013699625894e+00 -8.837264310095922504e-01
8.219772899804989041e-01 -2.709333933446170128e+00 3.077383328078402425e+00 -8.804018364322354628e-01
8.299408171277433688e-01 -2.658765514917162509e+00 3.031417107107108322e+00 -8.770701691574313008e-01
8.379043442749878334e-01 -2.609628148412757476e+00 2.986760899191907015e+00 -8.737318575178930624e-01
8.458678714222322981e-01 -2.561868164021618988e+00 2.943365663444325708e+00 -8.703873242251938258e-01
8.538313985694767627e-01 -2.515434383054323764e+00 2.901184635411747426e+00 -8.670369863231139895e-01
8.617949257167212274e-01 -2.470277980563738485e+00 2.860173201452625769e+00 -8.636812551453642017e-01
8.697584528639656920e-01 -2.426352356636120700e+00 2.820288781126149225e+00 -8.603205362775905307e-01
8.777219800112101566e-01 -2.383613015819244119e+00 2.781490717017295999e+00 -8.569552295235728367e-01
8.856855071584546213e-01 -2.342017454104903695e+00 2.743740171464871480e+00 -8.535857288755263061e-01
8.936490343056990859e-01 -2.301525052929675130e+00 2.707000029702633981e+00 -8.502124224884103354e-01
9.016125614529435506e-01 -2.262096979700213062e+00 2.671234808962366536e+00 -8.468356926581523947e-01
9.095760886001880152e-01 -2.223696094388133648e+00 2.636410573123174395e+00 -8.434559158036882831e-01
9.175396157474323688e-01 -2.186286861774884294e+00 2.602494852523582924e+00 -8.400734624527265160e-01
9.255031428946768335e-01 -2.149835268959357393e+00 2.569456568582594080e+00 -8.366886972311367021e-01
9.334666700419212981e-01 -2.114308747770637265e+00 2.537265962902920613e+00 -8.333019788558656549e-01
9.414301971891657628e-01 -2.079676101755335349e+00 2.505894530554354294e+00 -8.299136601312862016e-01
9.493937243364102274e-01 -2.045907437433850173e+00 2.475314957257976900e+00 -8.265240879488718884e-01
9.573572514836546921e-01 -2.012974099542661488e+00 2.445501060212693645e+00 -8.231336032901110933e-01
9.653207786308991567e-01 -1.980848610000688348e+00 2.416427732324724964e+00 -8.197425412325541894e-01
9.732843057781436213e-01 -1.949504610356948664e+00 2.388070889618224335e+00 -8.163512309588982774e-01
9.812478329253880860e-01 -1.918916807494418508e+00 2.360407421621327551e+00 -8.129599957690117895e-01
9.892113600726325506e-01 -1.889060922381236463e+00 2.333415144536791885e+00 -8.095691530948023740e-01
9.971748872198770153e-01 -1.859913641675341012e+00 2.307072757020029563e+00 -8.061790145178302502e-01
1.005138414367121369e+00 -1.831452572002409962e+00 2.281359798399944072e+00 -8.027898857895711116e-01
1.013101941514365834e+00 -1.803656196739650941e+00 2.256256609189554396e+00 -7.994020668542319852e-01
1.021065468661610298e+00 -1.776503835149724875e+00 2.231744293744112539e+00 -7.960158518740299005e-01
1.029028995808854763e+00 -1.749975603719843953e+00 2.207804684934262518e+00 -7.926315292568325566e-01
1.036992522956099227e+00 -1.724052379571117566e+00 2.184420310710950552e+00 -7.892493816860731703e-01
1.044956050103343692e+00 -1.698715765812398359e+00 2.161574362447171271e+00 -7.858696861528468025e-01
1.052919577250588157e+00 -1.673948058721426602e+00 2.139250664949466252e+00 -7.824927139900965667e-01
1.060883104397832621e+00 -1.649732216643952531e+00 2.117433648039275251e+00 -7.791187309088007940e-01
1.068846631545077086e+00 -1.626051830508825402e+00 2.096108319610930693e+00 -7.757479970360716681e-01
1.076810158692321551e+00 -1.602891095863791193e+00 2.075260240079243257e+00 -7.723807669550808441e-01
1.084773685839566015e+00 -1.580234786343029052e+00 2.054875498135390721e+00 -7.690172897467246749e-01
1.092737212986810480e+00 -1.558068228483245665e+00 2.034940687735095732e+00 -7.656578090329440034e-01
1.100700740134054945e+00 -1.536377277810571984e+00 2.015442886248046683e+00 -7.623025630216173631e-01
1.108664267281299409e+00 -1.515148296125492067e+00 1.996369633702058666e+00 -7.589517845529477613e-01
1.116627794428543874e+00 -1.494368129917696741e+00 1.977708913059755602e+00 -7.556057011472573359e-01
1.124591321575788339e+00 -1.474024089847085328e+00 1.959449131469477079e+00 -7.522645350541199427e-01
1.132554848723032803e+00 -1.454103931231146118e+00 1.941579102435815329e+00 -7.489285033027470728e-01
1.140518375870277268e+00 -1.434595835482706638e+00 1.924088028858585098e+00 -7.455978177535583784e-01
1.148481903017521732e+00 -1.415488392445512167e+00 1.906965486892230111e+00 -7.422726851508596457e-01
1.156445430164766197e+00 -1.396770583578342828e+00 1.890201410580618857e+00 -7.389533071765577166e-01
1.164408957312010662e+00 -1.378431765941409370e+00 1.873786077224963043e+00 -7.356398805048425249e-01
1.172372484459255126e+00 -1.360461656941568620e+00 1.857710093445145816e+00 -7.323325968577669709e-01
1.180336011606499591e+00 -1.342850319795549696e+00 1.841964381897173375e+00 -7.290316430616591292e-01
1.188299538753744056e+00 -1.325588149672822347e+00 1.826540168611685111e+00 -7.257372011043009552e-01
1.196263065900988520e+00 -1.308665860482030707e+00 1.811428970920561099e+00 -7.224494481928108724e-01
1.204226593048232985e+00 -1.292074472267062069e+00 1.796622585940624628e+00 -7.191685568121667371e-01
1.212190120195477450e+00 -1.275805299180814423e+00 1.782113079585252891e+00 -7.158946947843116693e-01
1.220153647342721914e+00 -1.259849938006597947e+00 1.767892776076424033e+00 -7.126280253277849086e-01
1.228117174489966379e+00 -1.244200257198853743e+00 1.753954247931335475e+00 -7.093687071178165215e-01
1.236080701637210844e+00 -1.228848386416512062e+00 1.740290306399204789e+00 -7.061168943468371095e-01
1.244044228784455308e+00 -1.213786706523840797e+00 1.726893992325278848e+00 -7.028727367853458974e-01
1.252007755931699773e+00 -1.199007840035070771e+00 1.713758567420384349e+00 -6.996363798430859093e-01
1.259971283078944237e+00 -1.184504641980435702e+00 1.700877505915586507e+00 -6.964079646304770499e-01
1.267934810226188702e+00 -1.170270191172510632e+00 1.688244486582654025e+00 -6.931876280202594609e-01
1.275898337373433167e+00 -1.156297781852930084e+00 1.675853385102143323e+00 -6.899755027092979720e-01
1.283861864520677631e+00 -1.142580915700666999e+00 1.663698266761890920e+00 -6.867717172805071213e-01
1.291825391667922096e+00 -1.129113294184095118e+00 1.651773379469685388e+00 -6.835763962648470082e-01
1.299788918815166561e+00 -1.115888811240037803e+00 1.640073147064760040e+00 -6.803896602033542296e-01
1.307752445962410803e+00 -1.102901546263923560e+00 1.628592162913599317e+00 -6.772116257091648217e-01
1.315715973109655268e+00 -1.090145757396023374e+00 1.617325183776336273e+00 -6.740424055294882422e-01
1.323679500256899733e+00 -1.077615875089573239e+00 1.606267123930758878e+00 -6.708821086075007489e-01
1.331643027404144197e+00 -1.065306495947324850e+00 1.595413049541640760e+00 -6.677308401441153229e-01
1.339606554551388662e+00 -1.053212376813803308e+00 1.584758173263764558e+00 -6.645887016595991570e-01
1.347570081698633127e+00 -1.041328429111216813e+00 1.574297849067626265e+00 -6.614557910550031838e-01
1.355533608845877591e+00 -1.029649713407601253e+00 1.564027567277390007e+00 -6.583322026733730015e-01
1.363497135993122056e+00 -1.018171434206377679e+00 1.553942949811204066e+00 -6.552180273607085548e-01
1.371460663140366520e+00 -1.006888934947072212e+00 1.544039745614510295e+00 -6.521133525266487041e-01
1.379424190287610985e+00 -9.957976932074666943e-01 1.534313826277462933e+00 -6.490182622048458194e-01
1.387387717434855450e+00 -9.848933160979658208e-01 1.524761181828026446e+00 -6.459328371130117485e-01
1.395351244582099914e+00 -9.741715358394207325e-01 1.515377916692761007e+00 -6.428571547126032959e-01
