q_bohr^-1 w_Ry eps g_Ry
2.194083416071265780e-01 -8.045529017933352733e-01 1.004003955681096016e+01 -8.013443545125704948e-02
2.218136668974884929e-01 -7.826239849732631315e-01 9.819733903755489379e+00 -7.969910311662864455e-02
2.242189921878504077e-01 -7.614018014376252586e-01 9.606500675137496614e+00 -7.925901711621202717e-02
2.266243174782123226e-01 -7.408565542583607222e-01 9.400041449413560457e+00 -7.881417951668505395e-02
2.290296427685742653e-01 -7.209600027977368653e-01 9.200073393420746370e+00 -7.836459253828532978e-02
2.314349680589361802e-01 -7.016853661671026421e-01 9.006328295404813389e+00 -7.791025855954138157e-02
2.338402933492980951e-01 -6.830072336008639056e-01 8.818551667312423348e+00 -7.745118012207778679e-02
2.362456186396600100e-01 -6.649014811853288798e-01 8.636501910734747156e+00 -7.698735993549529755e-02
2.386509439300219249e-01 -6.473451944326308327e-01 8.459949541396317940e+00 -7.651880088232609900e-02
2.410562692203838675e-01 -6.303165962354915219e-01 8.288676467539243475e+00 -7.604550602306486828e-02
2.434615945107457824e-01 -6.137949797796595774e-01 8.122475317964315877e+00 -7.556747860127584204e-02
2.458669198011076973e-01 -5.977606460279306644e-01 7.961148815861833761e+00 -7.508472204877633671e-02
2.482722450914696122e-01 -5.821948454231604675e-01 7.804509194900520086e+00 -7.459723999089751256e-02
2.506775703818315271e-01 -5.670797234879781934e-01 7.652377654346475211e+00 -7.410503625182200682e-02
2.530828956721934420e-01 -5.523982700263456724e-01 7.504583850258755184e+00 -7.360811485999975423e-02
2.554882209625553569e-01 -5.381342716569714746e-01 7.360965420057425490e+00 -7.310648005364128732e-02
2.578935462529172717e-01 -5.242722674311467435e-01 7.221367537985638130e+00 -7.260013628628984861e-02
2.602988715432791866e-01 -5.107975073080481820e-01 7.085642499192621457e+00 -7.208908823247170417e-02
2.627041968336411015e-01 -4.976959132791743401e-01 6.953649330350811120e+00 -7.157334079342560218e-02
2.651095221240030719e-01 -4.849540429505093675e-01 6.825253424889996978e+00 -7.105289910291139044e-02
2.675148474143649868e-01 -4.725590554064333371e-01 6.700326201085847089e+00 -7.052776853309783434e-02
2.699201727047269017e-01 -4.604986791934383428e-01 6.578744781380747142e+00 -6.999795470053010726e-02
2.723254979950888166e-01 -4.487611822745397050e-01 6.460391691443493123e+00 -6.946346347217681461e-02
2.747308232854507315e-01 -4.373353438169569340e-01 6.345154577591302747e+00 -6.892430097155721747e-02
2.771361485758126464e-01 -4.262104276863307728e-01 6.232925941304814366e+00 -6.838047358494796224e-02
2.795414738661745613e-01 -4.153761575305162657e-01 6.123602889664552684e+00 -6.783198796767017646e-02
2.819467991565364762e-01 -4.048226933449314835e-01 6.017086900626922308e+00 -6.727885105045647296e-02
2.843521244468983911e-01 -3.945406094196289293e-01 5.913283602139792094e+00 -6.672107004589797330e-02
2.867574497372603615e-01 -3.845208735757638108e-01 5.812102564172914043e+00 -6.615865245497137836e-02
2.891627750276222764e-01 -3.747548276060157502e-01 5.713457102807361743e+00 -6.559160607364608597e-02
2.915681003179841912e-01 -3.652341688398338393e-01 5.617264095591410822e+00 -6.501993899957099476e-02
2.939734256083461061e-01 -3.559509327601867446e-01 5.523443807428509267e+00 -6.444365963884098047e-02
2.963787508987080210e-01 -3.468974766038218638e-01 5.431919726316251307e+00 -6.386277671284297519e-02
2.987840761890699359e-01 -3.380664638819546597e-01 5.342618408304570465e+00 -6.327729926518126102e-02
3.011894014794318508e-01 -3.294508497628153565e-01 5.255469331086471740e+00 -6.268723666868158961e-02
3.035947267697937657e-01 -3.210438672616483524e-01 5.170404755676383246e+00 -6.209259863247398176e-02
3.060000520601557361e-01 -3.128390141875865282e-01 5.087359595669511236e+00 -6.149339520915387408e-02
3.084053773505176510e-01 -3.048300408003647988e-01 5.006271293611114892e+00 -6.088963680202103684e-02
3.108107026408795659e-01 -2.970109381330929832e-01 4.927079704037174324e+00 -6.028133417239561059e-02
3.132160279312414808e-01 -2.893759269403313183e-01 4.849726982778230777e+00 -5.966849844701122701e-02
3.156213532216033957e-01 -2.819194472334901613e-01 4.774157482146012654e+00 -5.905114112548412453e-02
3.180266785119653106e-01 -2.746361483681515891e-01 4.700317651648221684e+00 -5.842927408785812682e-02
3.204320038023272255e-01 -2.675208796502944741e-01 4.628155943900831737e+00 -5.780290960222378427e-02
3.228373290926891404e-01 -2.605686814306128474e-01 4.557622725429197885e+00 -5.717206033241260116e-02
3.252426543830510552e-01 -2.537747766581531783e-01 4.488670192069874609e+00 -5.653673934576360777e-02
3.276479796734130256e-01 -2.471345628663991489e-01 4.421252288703925615e+00 -5.589696012096286720e-02
3.300533049637749405e-01 -2.406436045666807411e-01 4.355324633070121187e+00 -5.525273655595407118e-02
3.324586302541368554e-01 -2.342976260254197585e-01 4.290844443422737520e+00 -5.460408297591984317e-02
3.348639555444987703e-01 -2.280925044032345028e-01 4.227770469813881604e+00 -5.395101414133198631e-02
3.372692808348606852e-01 -2.220242632353317536e-01 4.166062928794231013e+00 -5.329354525607021137e-02
3.396746061252226001e-01 -2.160890662339216284e-01 4.105683441339289530e+00 -5.263169197560749191e-02
3.420799314155845150e-01 -2.102832113946043746e-01 4.046594973820313967e+00 -5.196547041526124178e-02
3.444852567059464299e-01 -2.046031253898101532e-01 3.988761781850485910e+00 -5.129489715850859416e-02
3.468905819963084003e-01 -1.990453582334237304e-01 3.932149356847370658e+00 -5.061998926536447757e-02
3.492959072866703152e-01 -1.936065782017059589e-01 3.876724375162559522e+00 -4.994076428082087210e-02
3.517012325770322301e-01 -1.882835669965383651e-01 3.822454649638512336e+00 -4.925724024334578871e-02
3.541065578673941450e-01 -1.830732151378672845e-01 3.769309083461183096e+00 -4.856943569344002176e-02
3.565118831577560599e-01 -1.779725175730183795e-01 3.717257626184923947e+00 -4.787736968224991924e-02
3.589172084481179748e-01 -1.729785694912950866e-01 3.666271231813602594e+00 -4.718106178023478980e-02
3.613225337384798896e-01 -1.680885623329634038e-01 3.616321818828821755e+00 -4.648053208588620588e-02
3.637278590288418045e-01 -1.632997799823732721e-01 3.567382232062543679e+00 -4.577580123449756511e-02
3.661331843192037194e-01 -1.586095951355733780e-01 3.519426206317557426e+00 -4.506689040698188403e-02
3.685385096095656898e-01 -1.540154658333365012e-01 3.472428331644795474e+00 -4.435382133873545796e-02
3.709438348999276047e-01 -1.495149321510428064e-01 3.426364020191858373e+00 -4.363661632854490269e-02
3.733491601902895196e-01 -1.451056130373633291e-01 3.381209474542034688e+00 -4.291529824753523986e-02
3.757544854806514345e-01 -1.407852032941483422e-01 3.336941657467727307e+00 -4.218989054815679846e-02
3.781598107710133494e-01 -1.365514706903579456e-01 3.293538263026578150e+00 -4.146041727320779607e-02
3.805651360613752643e-01 -1.324022532032784194e-01 3.250977688932593423e+00 -4.072690306489017836e-02
3.829704613517371792e-01 -1.283354563806509141e-01 3.209239010138437376e+00 -3.998937317389610058e-02
3.853757866420990941e-01 -1.243490508176905707e-01 3.168301953568601892e+00 -3.924785346852139450e-02
3.877811119324610645e-01 -1.204410697433173361e-01 3.128146873946548112e+00 -3.850237044380395990e-02
3.901864372228229794e-01 -1.166096067102246614e-01 3.088754730662025327e+00 -3.775295123068293790e-02
3.925917625131848943e-01 -1.128528133837155834e-01 3.050107065627753133e+00 -3.699962360517628640e-02
3.949970878035468091e-01 -1.091688974245076382e-01 3.012185982077439927e+00 -3.624241599757269811e-02
3.974024130939087240e-01 -1.055561204609717363e-01 2.974974124259690988e+00 -3.548135750163504409e-02
3.998077383842706389e-01 -1.020127961465118749e-01 2.938454657984828522e+00 -3.471647788381105465e-02
4.022130636746325538e-01 -9.853728829802632649e-02 2.902611251983956642e+00 -3.394780759244812873e-02
4.046183889649944687e-01 -9.512800911160496087e-02 2.867428060041762983e+00 -3.317537776700819896e-02
4.070237142553563836e-01 -9.178341745182233558e-02 2.832889703866604325e+00 -3.239922024727873162e-02
4.094290395457183540e-01 -8.850201721117736953e-02 2.798981256663326089e+00 -3.161936758257569841e-02
4.118343648360802689e-01 -8.528235573641365641e-02 2.765688227376099650e+00 -3.083585304093508159e-02
