q_bohr^-1 w_Ry eps g_Ry
6.456270552408255314e-01 -1.585151995839828132e+00 3.356591151008884832e+00 -4.722505436396034484e-01
6.513803973069313136e-01 -1.556558096234016420e+00 3.307091397077534189e+00 -4.706728388606198354e-01
6.571337393730370957e-01 -1.528705730379125827e+00 3.258894162233379355e+00 -4.690872591368466238e-01
6.628870814391429889e-01 -1.501569235368306998e+00 3.211954503521137205e+00 -4.674939304782171345e-01
6.686404235052487710e-01 -1.475124048170582070e+00 3.166229403461006342e+00 -4.658929787456725369e-01
6.743937655713545531e-01 -1.449346649576161994e+00 3.121677671916442964e+00 -4.642845296344728645e-01
6.801471076374604463e-01 -1.424214511446741716e+00 3.078259853747924879e+00 -4.626687086578133434e-01
6.859004497035662284e-01 -1.399706047049907420e+00 3.035938141866076911e+00 -4.610456411307382041e-01
6.916537917696720106e-01 -1.375800564273294668e+00 2.994676295326349269e+00 -4.594154521543587499e-01
6.974071338357777927e-01 -1.352478221529230362e+00 2.954439562133925001e+00 -4.577782666003720191e-01
7.031604759018836859e-01 -1.329719986174468627e+00 2.915194606451798620e+00 -4.561342090958808160e-01
7.089138179679894680e-01 -1.307507595282402901e+00 2.876909439927328727e+00 -4.544834040085150573e-01
7.146671600340952502e-01 -1.285823518616850292e+00 2.839553356873086187e+00 -4.528259754318538777e-01
7.204205021002010323e-01 -1.264650923667334004e+00 2.803096873056763805e+00 -4.511620471711483282e-01
7.261738441663069255e-01 -1.243973642615707753e+00 2.767511667872289749e+00 -4.494917427293435574e-01
7.319271862324127076e-01 -1.223776141113163352e+00 2.732770529680384364e+00 -4.478151852933996979e-01
7.376805282985184897e-01 -1.204043488755104585e+00 2.698847304121565926e+00 -4.461324977209122356e-01
7.434338703646242719e-01 -1.184761331149179142e+00 2.665716845218311981e+00 -4.444438025270278647e-01
7.491872124307301650e-01 -1.165915863478976577e+00 2.633354969095684339e+00 -4.427492218716573835e-01
7.549405544968359472e-01 -1.147493805472550976e+00 2.601738410161381410e+00 -4.410488775469836309e-01
7.606938965629417293e-01 -1.129482377691091388e+00 2.570844779596991536e+00 -4.393428909652609682e-01
7.664472386290476225e-01 -1.111869279058764981e+00 2.540652526022165958e+00 -4.376313831469075266e-01
7.722005806951534046e-01 -1.094642665560032535e+00 2.511140898202699923e+00 -4.359144747088869454e-01
7.779539227612591867e-01 -1.077791130035612666e+00 2.482289909682028117e+00 -4.341922858533770468e-01
7.837072648273649689e-01 -1.061303683012820853e+00 2.454080305223613312e+00 -4.324649363567244498e-01
7.894606068934708620e-01 -1.045169734510190906e+00 2.426493528959021706e+00 -4.307325455586828444e-01
7.952139489595766442e-01 -1.029379076760198242e+00 2.399511694143338758e+00 -4.289952323519314326e-01
8.009672910256824263e-01 -1.013921867797511700e+00 2.373117554425882680e+00 -4.272531151718715337e-01
8.067206330917882084e-01 -9.987886158635780331e-01 2.347294476550078279e+00 -4.255063119867011912e-01
8.124739751578941016e-01 -9.839701645814492581e-01 2.322026414401826777e+00 -4.237549402877607285e-01
8.182273172239998837e-01 -9.694576788576846349e-01 2.297297884330780526e+00 -4.219991170801494218e-01
8.239806592901056659e-01 -9.552426314708536426e-01 2.273093941673663743e+00 -4.202389588736112347e-01
8.297340013562114480e-01 -9.413167903086856469e-01 2.249400158413212836e+00 -4.184745816736830659e-01
8.354873434223173412e-01 -9.276722062182584105e-01 2.226202601910378220e+00 -4.167061009731064525e-01
8.412406854884231233e-01 -9.143012014357965178e-01 2.203487814651279297e+00 -4.149336317434968446e-01
8.469940275545289055e-01 -9.011963585646916020e-01 2.181242794953950792e+00 -4.131572884272688984e-01
8.527473696206347986e-01 -8.883505100722531855e-01 2.159454978583270623e+00 -4.113771849298119565e-01
8.585007116867405808e-01 -8.757567282774773032e-01 2.138112221225525467e+00 -4.095934346119167180e-01
8.642540537528463629e-01 -8.634083158037624273e-01 2.117202781777006493e+00 -4.078061502824439910e-01
8.700073958189521450e-01 -8.512987964720623024e-01 2.096715306403698520e+00 -4.060154441912365297e-01
